ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
1365,How Many Numbers Are Smaller Than the Current Number,85.6%,Easy,0.007109877088701, https://leetcode.com/problems/how-many-numbers-are-smaller-than-the-current-number
412,Fizz Buzz,62.3%,Easy,0.0071659210261436, https://leetcode.com/problems/fizz-buzz
876,Middle of the Linked List,68.4%,Easy,0.0076248939756969, https://leetcode.com/problems/middle-of-the-linked-list
101,Symmetric Tree,46.8%,Easy,0.007646596306528, https://leetcode.com/problems/symmetric-tree
38,Count and Say,44.6%,Easy,0.0078293608004357, https://leetcode.com/problems/count-and-say
141,Linked List Cycle,41.1%,Easy,0.0078438610289084, https://leetcode.com/problems/linked-list-cycle
700,Search in a Binary Search Tree,73.1%,Easy,0.0085125008601712, https://leetcode.com/problems/search-in-a-binary-search-tree
125,Valid Palindrome,36.7%,Easy,0.0089339486415516, https://leetcode.com/problems/valid-palindrome
387,First Unique Character in a String,53.4%,Easy,0.0093926801990541, https://leetcode.com/problems/first-unique-character-in-a-string
257,Binary Tree Paths,51.5%,Easy,0.0104576116439581, https://leetcode.com/problems/binary-tree-paths
268,Missing Number,51.7%,Easy,0.0109476826281919, https://leetcode.com/problems/missing-number
1051,Height Checker,71.1%,Easy,0.0114680155916411, https://leetcode.com/problems/height-checker
205,Isomorphic Strings,39.8%,Easy,0.0115441397468653, https://leetcode.com/problems/isomorphic-strings
278,First Bad Version,35.7%,Easy,0.0120904213238161, https://leetcode.com/problems/first-bad-version
181,Employees Earning More Than Their Managers,56.9%,Easy,0.0126184639592115, https://leetcode.com/problems/employees-earning-more-than-their-managers
665,Non-decreasing Array,19.5%,Easy,0.0130167799501917, https://leetcode.com/problems/non-decreasing-array
122,Best Time to Buy and Sell Stock II,57.0%,Easy,0.0133513331748642, https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii
703,Kth Largest Element in a Stream,49.7%,Easy,0.0138987643908149, https://leetcode.com/problems/kth-largest-element-in-a-stream
217,Contains Duplicate,56.0%,Easy,0.0151060274310132, https://leetcode.com/problems/contains-duplicate
204,Count Primes,31.5%,Easy,0.0434020557748472, https://leetcode.com/problems/count-primes
203,Remove Linked List Elements,38.6%,Easy,0.0016237064659255, https://leetcode.com/problems/remove-linked-list-elements
175,Combine Two Tables,60.8%,Easy,0.1453647140234507, https://leetcode.com/problems/combine-two-tables
53,Maximum Subarray,46.5%,Easy,0.1010231044519237, https://leetcode.com/problems/maximum-subarray
836,Rectangle Overlap,48.6%,Easy,0.0935807994396979, https://leetcode.com/problems/rectangle-overlap
595,Big Countries,77.3%,Easy,0.0609712622959587, https://leetcode.com/problems/big-countries
929,Unique Email Addresses,67.4%,Easy,0.0910712658444696, https://leetcode.com/problems/unique-email-addresses
202,Happy Number,50.4%,Easy,0.0550345192362445, https://leetcode.com/problems/happy-number
728,Self Dividing Numbers,74.3%,Easy,0.1450132875778201, https://leetcode.com/problems/self-dividing-numbers
1114,Print in Order,65.7%,Easy,0.0700675626167169, https://leetcode.com/problems/print-in-order
706,Design HashMap,61.3%,Easy,0.1476880076475794, https://leetcode.com/problems/design-hashmap
206,Reverse Linked List,62.5%,Easy,0.1563653350583309, https://leetcode.com/problems/reverse-linked-list
771,Jewels and Stones,86.4%,Easy,0.06372709715833, https://leetcode.com/problems/jewels-and-stones
88,Merge Sorted Array,39.4%,Easy,0.0592581741011338, https://leetcode.com/problems/merge-sorted-array
14,Longest Common Prefix,35.4%,Easy,0.0518460641730158, https://leetcode.com/problems/longest-common-prefix
7,Reverse Integer,25.8%,Easy,0.2202424163450189, https://leetcode.com/problems/reverse-integer
21,Merge Two Sorted Lists,53.5%,Easy,0.5022775942091335, https://leetcode.com/problems/merge-two-sorted-lists
176,Second Highest Salary,31.6%,Easy,0.0453386805890617, https://leetcode.com/problems/second-highest-salary
195,Tenth Line,33.0%,Easy,0.0612749075005516, https://leetcode.com/problems/tenth-line
219,Contains Duplicate II,37.7%,Easy,0.0501201040595723, https://leetcode.com/problems/contains-duplicate-ii
725,Split Linked List in Parts,52.2%,Medium,0.1007562928969156, https://leetcode.com/problems/split-linked-list-in-parts
399,Evaluate Division,51.6%,Medium,0.0193804515496624, https://leetcode.com/problems/evaluate-division
695,Max Area of Island,62.7%,Medium,0.0126865006310038, https://leetcode.com/problems/max-area-of-island
12,Integer to Roman,55.1%,Medium,0.0998181930348434, https://leetcode.com/problems/integer-to-roman
31,Next Permutation,32.6%,Medium,0.0917811988614226, https://leetcode.com/problems/next-permutation
24,Swap Nodes in Pairs,50.4%,Medium,0.013945066390122, https://leetcode.com/problems/swap-nodes-in-pairs
229,Majority Element II,35.6%,Medium,0.0190572704102861, https://leetcode.com/problems/majority-element-ii
142,Linked List Cycle II,37.3%,Medium,0.0147109550646678, https://leetcode.com/problems/linked-list-cycle-ii
11,Container With Most Water,50.8%,Medium,0.0888723066482943, https://leetcode.com/problems/container-with-most-water
114,Flatten Binary Tree to Linked List,49.3%,Medium,0.0154509511557189, https://leetcode.com/problems/flatten-binary-tree-to-linked-list
314,Binary Tree Vertical Order Traversal,45.3%,Medium,0.0180103922744653, https://leetcode.com/problems/binary-tree-vertical-order-traversal
215,Kth Largest Element in an Array,55.4%,Medium,0.0155192251476009, https://leetcode.com/problems/kth-largest-element-in-an-array
987,Vertical Order Traversal of a Binary Tree,36.6%,Medium,0.070392125446596, https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree
71,Simplify Path,32.6%,Medium,0.0162605208717803, https://leetcode.com/problems/simplify-path
236,Lowest Common Ancestor of a Binary Tree,45.7%,Medium,0.0187249473323248, https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree
77,Combinations,54.7%,Medium,0.0125511531545151, https://leetcode.com/problems/combinations
386,Lexicographical Numbers,51.6%,Medium,0.0687555954151299, https://leetcode.com/problems/lexicographical-numbers
994,Rotting Oranges,49.2%,Medium,0.0170879418971956, https://leetcode.com/problems/rotting-oranges
178,Rank Scores,45.8%,Medium,0.0655166714541499, https://leetcode.com/problems/rank-scores
92,Reverse Linked List II,38.8%,Medium,0.0634569616201148, https://leetcode.com/problems/reverse-linked-list-ii
554,Brick Wall,50.0%,Medium,0.0639195177132874, https://leetcode.com/problems/brick-wall
29,Divide Two Integers,16.4%,Medium,0.0151747980192351, https://leetcode.com/problems/divide-two-integers
200,Number of Islands,46.8%,Medium,0.0452629940835575, https://leetcode.com/problems/number-of-islands
82,Remove Duplicates from Sorted List II,36.8%,Medium,0.1110882064011508, https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii
287,Find the Duplicate Number,55.5%,Medium,0.0123356827391886, https://leetcode.com/problems/find-the-duplicate-number
2,Add Two Numbers,33.9%,Medium,0.7674901747071898, https://leetcode.com/problems/add-two-numbers
5,Longest Palindromic Substring,29.5%,Medium,0.3696713039601054, https://leetcode.com/problems/longest-palindromic-substring
3,Longest Substring Without Repeating Characters,30.4%,Medium,0.3354375120660045, https://leetcode.com/problems/longest-substring-without-repeating-characters
50,Pow(x;n),30.3%,Medium,0.0055950070772402, https://leetcode.com/problems/powx-n
105,Construct Binary Tree from Preorder and Inorder Traversal,48.8%,Medium,0.0056282686916147, https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal
15,3Sum,26.8%,Medium,0.2555249608172495, https://leetcode.com/problems/3sum
192,Word Frequency,25.8%,Medium,0.2161486344424185, https://leetcode.com/problems/word-frequency
274,H-Index,36.1%,Medium,0.1938037156879742, https://leetcode.com/problems/h-index
73,Set Matrix Zeroes,43.1%,Medium,0.0070151111959223, https://leetcode.com/problems/set-matrix-zeroes
36,Valid Sudoku,48.7%,Medium,0.0072582427158053, https://leetcode.com/problems/valid-sudoku
692,Top K Frequent Words,51.8%,Medium,0.0075160068209353, https://leetcode.com/problems/top-k-frequent-words
240,Search a 2D Matrix II,43.2%,Medium,0.0075829747244553, https://leetcode.com/problems/search-a-2d-matrix-ii
22,Generate Parentheses,62.7%,Medium,0.1461265645572103, https://leetcode.com/problems/generate-parentheses
102,Binary Tree Level Order Traversal,54.6%,Medium,0.0081692384971294, https://leetcode.com/problems/binary-tree-level-order-traversal
146,LRU Cache,33.2%,Medium,0.1305731307896573, https://leetcode.com/problems/lru-cache
40,Combination Sum II,48.2%,Medium,0.0095786172970697, https://leetcode.com/problems/combination-sum-ii
47,Permutations II,46.4%,Medium,0.0096735941783783, https://leetcode.com/problems/permutations-ii
113,Path Sum II,46.7%,Medium,0.0097848138799982, https://leetcode.com/problems/path-sum-ii
380,Insert Delete GetRandom O(1),47.5%,Medium,0.0098208498640944, https://leetcode.com/problems/insert-delete-getrandom-o1
61,Rotate List,30.0%,Medium,0.0099256397999699, https://leetcode.com/problems/rotate-list
62,Unique Paths,54.1%,Medium,0.0103675620488569, https://leetcode.com/problems/unique-paths
647,Palindromic Substrings,60.6%,Medium,0.010400509768078, https://leetcode.com/problems/palindromic-substrings
6,ZigZag Conversion,36.3%,Medium,0.1167718370848652, https://leetcode.com/problems/zigzag-conversion
368,Largest Divisible Subset,38.0%,Medium,0.1162410153045681, https://leetcode.com/problems/largest-divisible-subset
148,Sort List,42.3%,Medium,0.011204599012863, https://leetcode.com/problems/sort-list
238,Product of Array Except Self,60.1%,Medium,0.1125512977472093, https://leetcode.com/problems/product-of-array-except-self
525,Contiguous Array,42.8%,Medium,0.0197537287362325, https://leetcode.com/problems/contiguous-array
547,Friend Circles,58.6%,Medium,0.0122288286394345, https://leetcode.com/problems/friend-circles
19,Remove Nth Node From End of List,35.2%,Medium,0.0122494258643992, https://leetcode.com/problems/remove-nth-node-from-end-of-list
137,Single Number II,52.4%,Medium,0.0125275675326628, https://leetcode.com/problems/single-number-ii
93,Restore IP Addresses,35.6%,Medium,0.0197634891188396, https://leetcode.com/problems/restore-ip-addresses
300,Longest Increasing Subsequence,42.6%,Medium,0.0626563074955562, https://leetcode.com/problems/longest-increasing-subsequence
33,Search in Rotated Sorted Array,34.5%,Medium,0.0287009496170278, https://leetcode.com/problems/search-in-rotated-sorted-array
545,Boundary of Binary Tree,38.9%,Medium,0.0415860337781028, https://leetcode.com/problems/boundary-of-binary-tree
79,Word Search,35.6%,Medium,0.0016647248725526, https://leetcode.com/problems/word-search
18,4Sum,33.7%,Medium,0.0599843982983643, https://leetcode.com/problems/4sum
201,Bitwise AND of Numbers Range,39.4%,Medium,0.029697802391742, https://leetcode.com/problems/bitwise-and-of-numbers-range
560,Subarray Sum Equals K,43.9%,Medium,0.0378713606995214, https://leetcode.com/problems/subarray-sum-equals-k
74,Search a 2D Matrix,36.5%,Medium,0.0570019805193323, https://leetcode.com/problems/search-a-2d-matrix
395,Longest Substring with At Least K Repeating Characters,41.4%,Medium,0.0537121935905255, https://leetcode.com/problems/longest-substring-with-at-least-k-repeating-characters
64,Minimum Path Sum,54.5%,Medium,0.0376947989353068, https://leetcode.com/problems/minimum-path-sum
55,Jump Game,34.6%,Medium,0.0309852523818078, https://leetcode.com/problems/jump-game
131,Palindrome Partitioning,47.5%,Medium,0.0310155805069216, https://leetcode.com/problems/palindrome-partitioning
681,Next Closest Time,45.0%,Medium,0.0504520609603886, https://leetcode.com/problems/next-closest-time
48,Rotate Image,56.7%,Medium,0.0314293625302922, https://leetcode.com/problems/rotate-image
402,Remove K Digits,28.4%,Medium,0.0375513456521324, https://leetcode.com/problems/remove-k-digits
78,Subsets,62.0%,Medium,0.0327093755360322, https://leetcode.com/problems/subsets
177,Nth Highest Salary,31.4%,Medium,0.0562934401878294, https://leetcode.com/problems/nth-highest-salary
49,Group Anagrams,56.9%,Medium,0.0337268500576588, https://leetcode.com/problems/group-anagrams
95,Unique Binary Search Trees II,40.6%,Medium,0.0375356825303779, https://leetcode.com/problems/unique-binary-search-trees-ii
59,Spiral Matrix II,53.9%,Medium,0.0351873674509732, https://leetcode.com/problems/spiral-matrix-ii
322,Coin Change,35.5%,Medium,0.0356968299720654, https://leetcode.com/problems/coin-change
46,Permutations,63.5%,Medium,0.0373216322335356, https://leetcode.com/problems/permutations
375,Guess Number Higher or Lower II,40.3%,Medium,0.0366341331797803, https://leetcode.com/problems/guess-number-higher-or-lower-ii
279,Perfect Squares,47.4%,Medium,0.0363676441708748, https://leetcode.com/problems/perfect-squares
96,Unique Binary Search Trees,52.9%,Medium,0.0206761328384273, https://leetcode.com/problems/unique-binary-search-trees
159,Longest Substring with At Most Two Distinct Characters,49.4%,Medium,0.0271755853789647, https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters
875,Koko Eating Bananas,52.1%,Medium,0.0359751024582779, https://leetcode.com/problems/koko-eating-bananas
343,Integer Break,50.4%,Medium,0.0271571339689074, https://leetcode.com/problems/integer-break
199,Binary Tree Right Side View,54.1%,Medium,0.0225393398460615, https://leetcode.com/problems/binary-tree-right-side-view
16,3Sum Closest,46.0%,Medium,0.0461336417489605, https://leetcode.com/problems/3sum-closest
91,Decode Ways,24.7%,Medium,0.0236627426208481, https://leetcode.com/problems/decode-ways
139,Word Break,40.1%,Medium,0.0240952289225918, https://leetcode.com/problems/word-break
138,Copy List with Random Pointer,36.4%,Medium,0.02453734514188, https://leetcode.com/problems/copy-list-with-random-pointer
8,String to Integer (atoi),15.4%,Medium,0.0454961490887401, https://leetcode.com/problems/string-to-integer-atoi
877,Stone Game,64.8%,Medium,0.0248614420653291, https://leetcode.com/problems/stone-game
220,Contains Duplicate III,20.9%,Medium,0.0248769047554045, https://leetcode.com/problems/contains-duplicate-iii
739,Daily Temperatures,63.3%,Medium,0.0611138332322297, https://leetcode.com/problems/daily-temperatures
143,Reorder List,37.1%,Medium,0.0258709455986492, https://leetcode.com/problems/reorder-list
81,Search in Rotated Sorted Array II,33.0%,Medium,0.0261111440036857, https://leetcode.com/problems/search-in-rotated-sorted-array-ii
152,Maximum Product Subarray,31.7%,Medium,0.0221769310459492, https://leetcode.com/problems/maximum-product-subarray
535,Encode and Decode TinyURL,79.9%,Medium,0.0419788813386612, https://leetcode.com/problems/encode-and-decode-tinyurl
221,Maximal Square,37.7%,Medium,0.0221084907542034, https://leetcode.com/problems/maximal-square
54,Spiral Matrix,34.1%,Medium,0.0261196696689221, https://leetcode.com/problems/spiral-matrix
56,Merge Intervals,39.3%,Medium,0.0215099061352744, https://leetcode.com/problems/merge-intervals
98,Validate Binary Search Tree,27.8%,Medium,0.0261871234163406, https://leetcode.com/problems/validate-binary-search-tree
378,Kth Smallest Element in a Sorted Matrix,54.3%,Medium,0.0259904898165374, https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix
856,Score of Parentheses,60.5%,Medium,0.0456700368331883, https://leetcode.com/problems/score-of-parentheses
741,Cherry Pickup,33.9%,Hard,0.6348838844581617, https://leetcode.com/problems/cherry-pickup
154,Find Minimum in Rotated Sorted Array II,41.6%,Hard,0.0021273209107578, https://leetcode.com/problems/find-minimum-in-rotated-sorted-array-ii
51,N-Queens,46.6%,Hard,0.0365152129750974, https://leetcode.com/problems/n-queens
45,Jump Game II,30.6%,Hard,0.0376515062036883, https://leetcode.com/problems/jump-game-ii
124,Binary Tree Maximum Path Sum,34.3%,Hard,0.0055317524548331, https://leetcode.com/problems/binary-tree-maximum-path-sum
601,Human Traffic of Stadium,41.7%,Hard,0.0522311922254456, https://leetcode.com/problems/human-traffic-of-stadium
25,Reverse Nodes in k-Group,42.1%,Hard,0.040236757867738, https://leetcode.com/problems/reverse-nodes-in-k-group
4,Median of Two Sorted Arrays,29.6%,Hard,0.3020854639582913, https://leetcode.com/problems/median-of-two-sorted-arrays
1096,Brace Expansion II,62.2%,Hard,0.2363887780642304, https://leetcode.com/problems/brace-expansion-ii
726,Number of Atoms,49.0%,Hard,0.1380442207962054, https://leetcode.com/problems/number-of-atoms
145,Binary Tree Postorder Traversal,55.0%,Hard,0.0075145948206413, https://leetcode.com/problems/binary-tree-postorder-traversal
37,Sudoku Solver,43.6%,Hard,0.0405278336121183, https://leetcode.com/problems/sudoku-solver
224,Basic Calculator,36.8%,Hard,0.0209651284650449, https://leetcode.com/problems/basic-calculator
32,Longest Valid Parentheses,28.4%,Hard,0.0359589303874438, https://leetcode.com/problems/longest-valid-parentheses
115,Distinct Subsequences,38.3%,Hard,0.0614947816078062, https://leetcode.com/problems/distinct-subsequences
185,Department Top Three Salaries,34.5%,Hard,0.0221861568155226, https://leetcode.com/problems/department-top-three-salaries
23,Merge k Sorted Lists,40.2%,Hard,0.0629323908354364, https://leetcode.com/problems/merge-k-sorted-lists
72,Edit Distance,44.8%,Hard,0.0224001401731278, https://leetcode.com/problems/edit-distance
65,Valid Number,15.3%,Hard,0.0228581380760501, https://leetcode.com/problems/valid-number
76,Minimum Window Substring,34.6%,Hard,0.0737842084537355, https://leetcode.com/problems/minimum-window-substring
214,Shortest Palindrome,29.8%,Hard,0.0753494372417868, https://leetcode.com/problems/shortest-palindrome
315,Count of Smaller Numbers After Self,41.5%,Hard,0.0143525965749565, https://leetcode.com/problems/count-of-smaller-numbers-after-self
420,Strong Password Checker,14.0%,Hard,0.0610876919798381, https://leetcode.com/problems/strong-password-checker
10,Regular Expression Matching,26.8%,Hard,0.0284413055977219, https://leetcode.com/problems/regular-expression-matching
1192,Critical Connections in a Network,48.6%,Hard,0.0135274298171563, https://leetcode.com/problems/critical-connections-in-a-network
57,Insert Interval,33.5%,Hard,0.0131192435924988, https://leetcode.com/problems/insert-interval
85,Maximal Rectangle,37.7%,Hard,0.0297542610817927, https://leetcode.com/problems/maximal-rectangle
329,Longest Increasing Path in a Matrix,43.4%,Hard,0.0299025601738698, https://leetcode.com/problems/longest-increasing-path-in-a-matrix
316,Remove Duplicate Letters,35.8%,Hard,0.0304437514147231, https://leetcode.com/problems/remove-duplicate-letters
44,Wildcard Matching,24.7%,Hard,0.0305730333622823, https://leetcode.com/problems/wildcard-matching
460,LFU Cache,34.2%,Hard,0.0309622256039668, https://leetcode.com/problems/lfu-cache
239,Sliding Window Maximum,43.0%,Hard,0.0312281425475857, https://leetcode.com/problems/sliding-window-maximum
218,The Skyline Problem,34.6%,Hard,0.0564413109049518, https://leetcode.com/problems/the-skyline-problem
41,First Missing Positive,32.0%,Hard,0.0562736359821086, https://leetcode.com/problems/first-missing-positive
30,Substring with Concatenation of All Words,25.4%,Hard,0.0550934905408248, https://leetcode.com/problems/substring-with-concatenation-of-all-words
446,Arithmetic Slices II - Subsequence,32.7%,Hard,0.1209933112866316, https://leetcode.com/problems/arithmetic-slices-ii-subsequence
128,Longest Consecutive Sequence,45.1%,Hard,0.0090518834853154, https://leetcode.com/problems/longest-consecutive-sequence
295,Find Median from Data Stream,44.3%,Hard,0.0089989358685695, https://leetcode.com/problems/find-median-from-data-stream
42,Trapping Rain Water,48.9%,Hard,0.1238927637867539, https://leetcode.com/problems/trapping-rain-water
84,Largest Rectangle in Histogram,35.2%,Hard,0.0083368552890618, https://leetcode.com/problems/largest-rectangle-in-histogram
312,Burst Balloons,51.8%,Hard,0.0565477267980687, https://leetcode.com/problems/burst-balloons
